id,ant,com,lift
51,"EPI', 'Ferramentas Automotivas'",Ferramentas Manuais',1.25712345655461
52,"Ferramentas Manuais', 'Auto Elétrica'",Equipamento Auto Center',1.25668519899654
53,"Aditivos e Lubrificantes', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas em Geral'",1.25547240048932
54,"Funilaria e Pintura', 'Aditivos e Lubrificantes'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.25386686652415
55,"Funilaria e Pintura', 'Ferramentas Manuais', 'EPI'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.25297628467837
56,"Jardinagem', 'Ferramentas Manuais', 'Funilaria e Pintura'",Ferramentas em Geral',1.25268895615905
57,"Aditivos e Lubrificantes', 'Ferramentas em Geral', 'Equipamento Auto Center'",Ferramentas Manuais',1.25038257275604
58,"Jardinagem', 'Ferramentas Elétricas e Máquinas', 'Funilaria e Pintura'",EPI',1.24679721101702
59,Ferramentas Automotivas',"Ferramentas Manuais', 'Ferramentas em Geral'",1.24569249507149
60,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.24294761867331
61,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",EPI',1.23964391130345
62,"Aditivos e Lubrificantes', 'Ferramentas em Geral', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.23952297115272
63,"Equipamento Auto Center', 'Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.23915362173354
64,"Ferramentas em Geral', 'Ferramentas Elétricas e Máquinas', 'EPI', 'Equipamento Auto Center'",Ferramentas Manuais',1.23899148308597
65,Injeção Eletrônica e Motor',Equipamento Auto Center',1.23763519285112
66,Auto Elétrica',Ferramentas Manuais',1.23737085796387
67,"EPI', 'Auto Elétrica'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.23612513505947
68,"Ferramentas Elétricas e Máquinas', 'Auto Elétrica'",Ferramentas Manuais',1.23597373202844
69,"Funilaria e Pintura', 'Equipamento Auto Center'","Ferramentas Elétricas e Máquinas', 'EPI'",1.23452619125087
70,"Ferramentas Manuais', 'Ferramentas em Geral', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.2337338330858
71,"Jardinagem', 'Ferramentas Manuais', 'Aditivos e Lubrificantes'",Ferramentas em Geral',1.23221454801087
72,"Funilaria e Pintura', 'Ferramentas em Geral', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.22930544578676
73,"Equipamento Auto Center', 'Ferramentas em Geral', 'Ferramentas Pneumáticas'",Ferramentas Manuais',1.22693317181506
74,"Ferramentas Elétricas e Máquinas', 'Injeção Eletrônica e Motor'",Equipamento Auto Center',1.22575592531563
75,"Ferramentas Manuais', 'Ferramentas Pneumáticas'",Equipamento Auto Center',1.2216908583608
76,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Manuais', 'Ferramentas em Geral'",EPI',1.22028112449799
77,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral', 'Equipamento Auto Center'",Ferramentas Manuais',1.21957997643603
78,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'",Ferramentas em Geral',1.21699156430801
79,"Equipamento Auto Center', 'Ferramentas em Geral', 'Ferramentas Pneumáticas'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.21681121300443
80,Aditivos e Lubrificantes',"Ferramentas Manuais', 'Ferramentas em Geral'",1.21676490771923
81,"Ferramentas em Geral', 'EPI', 'Equipamento Auto Center'",Ferramentas Manuais',1.21573852608682
82,"Injeção Eletrônica e Motor', 'EPI'",Equipamento Auto Center',1.21536568379246
83,"Ferramentas em Geral', 'EPI', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.21501119641715
84,"Funilaria e Pintura', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas em Geral'",1.21356233368128
85,"Ferramentas Elétricas e Máquinas', 'Ferramentas Automotivas'","Ferramentas Manuais', 'Ferramentas em Geral'",1.21272655262109
86,"Ferramentas Manuais', 'Aditivos e Lubrificantes', 'Ferramentas Pneumáticas'",Ferramentas em Geral',1.21049150723559
87,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Equipamento Auto Center'","Ferramentas Manuais', 'Ferramentas em Geral'",1.2104287970799
88,"Funilaria e Pintura', 'Ferramentas em Geral', 'Equipamento Auto Center'",Ferramentas Manuais',1.21009291259407
89,Ferramentas Automotivas',Ferramentas Manuais',1.20877641517926
90,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes', 'Injeção Eletrônica e Motor'",Ferramentas Manuais',1.20862073641484
91,"EPI', 'Aditivos e Lubrificantes', 'Ferramentas em Geral'",Ferramentas Manuais',1.20730224106602
92,"Ferramentas Manuais', 'Aditivos e Lubrificantes'",Ferramentas em Geral',1.20613759171291
93,"Ferramentas Elétricas e Máquinas', 'Injeção Eletrônica e Motor', 'Equipamento Auto Center'",Ferramentas Manuais',1.20584950866303
94,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Ferramentas Manuais', 'EPI'",Ferramentas em Geral',1.20216226566331
95,"Ferramentas em Geral', 'EPI', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'",Ferramentas Manuais',1.20184074446482
96,"Ferramentas Manuais', 'Funilaria e Pintura'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.20137176588365
97,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas'",EPI',1.20103378814944
98,"Ferramentas em Geral', 'Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'",Ferramentas Manuais',1.19893262225082
99,"Ferramentas em Geral', 'Ferramentas Elétricas e Máquinas', 'Injeção Eletrônica e Motor'",Equipamento Auto Center',1.19845568045632
100,"Injeção Eletrônica e Motor', 'Ferramentas em Geral'",Ferramentas Manuais',1.19732571110524
101,"Injeção Eletrônica e Motor', 'Equipamento Auto Center'",Ferramentas Manuais',1.19723433558353
102,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes'","Ferramentas Manuais', 'Ferramentas em Geral'",1.19642705627865
103,"Funilaria e Pintura', 'Aditivos e Lubrificantes', 'Ferramentas em Geral'",Ferramentas Manuais',1.19583578727597
104,"Aditivos e Lubrificantes', 'EPI', 'Equipamento Auto Center'",Ferramentas Manuais',1.19252208672547
105,"Ferramentas em Geral', 'Ferramentas Elétricas e Máquinas', 'Injeção Eletrônica e Motor'",Ferramentas Manuais',1.19163783399572
106,Funilaria e Pintura',EPI',1.18957423512292
107,"Funilaria e Pintura', 'Ferramentas Elétricas e Máquinas', 'Injeção Eletrônica e Motor'",Ferramentas Manuais',1.18769984364656
108,"Jardinagem', 'Funilaria e Pintura'",EPI',1.18736768958787
109,"Injeção Eletrônica e Motor', 'Aditivos e Lubrificantes'",Ferramentas Manuais',1.18718744934781
110,"Ferramentas Elétricas e Máquinas', 'Ferramentas Automotivas'",Ferramentas Manuais',1.1871520621487
111,"Ferramentas Elétricas e Máquinas', 'Aditivos e Lubrificantes', 'EPI'",Ferramentas em Geral',1.18691380092697
112,"EPI', 'Ferramentas Manuais', 'Aditivos e Lubrificantes'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.1864796232481
113,"Funilaria e Pintura', 'Ferramentas em Geral'",EPI',1.18623460693603
114,"Jardinagem', 'Funilaria e Pintura'","Ferramentas Manuais', 'Ferramentas em Geral'",1.18570943930245
115,"Funilaria e Pintura', 'Injeção Eletrônica e Motor'","Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas'",1.18476933647704
116,"Ferramentas Manuais', 'Ferramentas Elétricas e Máquinas', 'Funilaria e Pintura'",EPI',1.18271195239241
117,"Injeção Eletrônica e Motor', 'Ferramentas em Geral'",Equipamento Auto Center',1.17854837005288
118,"Funilaria e Pintura', 'Ferramentas Manuais', 'Equipamento Auto Center'","Ferramentas Elétricas e Máquinas', 'Ferramentas em Geral'",1.177670716758
119,"Ferramentas Manuais', 'Funilaria e Pintura'",Ferramentas em Geral',1.17762140878498
