id,ant,com,lift
116,Esmerilhadeira,Abrasivos,1.36796018311509
117,"Esmerilhadeira, Parafusadeiras Elétricas",Abrasivos,1.36647584823667
118,Marteletes Elétricos,Esmerilhadeira,1.35831817541238
119,Abraçadeiras,Abrasivos,1.32253559199856
120,"Brocas, Alicates",Abrasivos,1.30698669928146
121,"Abrasivos, Brocas",Esmerilhadeira,1.27724938041903
122,Grampos,Abrasivos,1.2764304518795
123,Brocas,Abrasivos,1.27623185299075
124,Fitas Adesivas,Abrasivos,1.27156416340666
125,"Serra Elétrica, Esmerilhadeira",Abrasivos,1.26957881129183
126,Serra Elétrica,Esmerilhadeira,1.22308617903564
127,"Lubrificação, Abrasivos",Esmerilhadeira,1.20367418169292
